Categorie,Aliments,Mesure,Poids (g),Énergie (kcal),Énergie (kJ),Protéines (g),Glucides (g),Sucres totaux (g),Fibres alimentaires totales (g),Gras totaux (g),Gras saturés (g),Gras monoinsaturés (g),Gras polyinsaturés (g),DHA (g),EPA (g),Gras trans (g),Cholestérol (mg),Calcium (mg),Fer (mg),Sodium (mg),Potassium (mg),Magnésium (mg),Phosphore (mg),Thiamine (mg),Riboflavine (mg),Niacine (ÉN),Vitamine A (ÉAR),Bêta-carotène (mcg),Lycopène (mcg),Vitamine C (mg),Vitamine D (mcg),Vitamine E (mg),Folates (ÉFA),Vitamine B12 (mcg),Alcool (g),Caféine (mg)
Légumes et produits à base de légumes,"Cocktail de tomate et de palourdes",125mL,128,61,257,1,14,4,0.5,tr,,,,,,,10,0.2,462,114,6,14,9,163,3807,,10,6,0.04,,,
Fruits et jus de fruits,"Rhubarbe, congelée, cuite avec sucre",125mL,127,147,615,tr,40,36,2.5,tr,,,,,,,184,0.3,1,122,15,10,5,56,,0,6,,4,0,,,
Fruits et jus de fruits,"Salade de fruits tropicaux, en conserve, dans du jus",125mL,131,70,272,1,18,16,1.1,tr,,,,,,,17,0.3,4,160,14,10,8,96,,0,4,,16,0,,,
Fruits et jus de fruits,"Salade de fruits tropicaux, en conserve, sirop épais",125mL,136,117,489,1,30,N/D,1.8,tr,,,,,,,18,0.7,3,178,18,10,8,102,N/D,,,12,24,,0,,,
Fruits et jus de fruits,"Tangerine (mandarine)",1,84,45,186,1,11,9,1.5,tr,,,,,,,31,0.1,2,139,10,17,11,130,,0,13,,22,0,,,
Fruits et jus de fruits,"Tangerines (mandarines), en conserve, dans du jus, égouttées",125mL,100,38,159,1,9,8,1.2,tr,,,,,,,12,0.3,5,136,11,11,25,298,,0,5,,34,0,,,
Fruits et jus de fruits,"Jus d'ananas, prêt-à-boire, avec vitamine C",125mL,132,74,309,tr,18,13,0.3,tr,,,,,,,22,0.3,1,177,17,11,,4,0,30,,32,0,,,
Fruits et jus de fruits,"Jus de canneberges, non sucré, prêt-à-boire",125mL,134,61,257,1,16,16,0.1,tr,,,,,,,11,0.3,3,103,8,17,3,36,,0,1,,12,0,,,
Fruits et jus de fruits,"Jus de citron, en conserve ou en bouteille",15mL,15,3,14,tr,1,tr,0.1,tr,,,,,,,2,tr,3,16,1,1,tr,tr,,0,2,,4,0,,,
Fruits et jus de fruits,"Jus de grenade, prêt-à-boire",125mL,128,72,300,0,20,17,0,,,,,,,,0,0,5,215,N/D,N/D,,N/D,N/D,N/D,0,,0,,,
Fruits et jus de fruits,"Jus de lime, en conserve ou en bouteille",15mL,16,3,14,tr,1,tr,0.1,tr,,,,,,,2,tr,2,12,1,2,tr,2,,0,1,,1,0,,,
Fruits et jus de fruits,"Jus de pamplemousse, prêt-à-boire, non sucré ou fraîchement pressé",125mL,130,50,210,1,12,12,0.4,tr,,,,,,,10,0.3,1,206,14,17,1,11,,0,13,,44,0,,,
Fruits et jus de fruits,"Jus de pamplemousse, prêt-à-boire, sucré",125mL,132,61,254,1,15,15,0.1,tr,,,,,,,11,0.5,3,214,13,15,,4,0,13,,36,0,,,
Fruits et jus de fruits,"Jus de pomme, prêt-à-boire, avec vitamine C",125mL,126,59,249,tr,15,14,0.1,tr,,,,,,,9,0.5,4,150,4,9,,,0,tr,,52,0,,,
Fruits et jus de fruits,"Jus de pruneaux, prêt-à-boire",125mL,135,96,402,1,24,22,1.4,tr,,,,,,,16,1.6,5,373,19,34,,3,0,0,,6,0,,,
Fruits et jus de fruits,"Jus de raisins, congelé, sucré, dilué, avec vitamine C",125mL,132,67,281,tr,17,17,0.1,tr,,,,,,,5,0.1,3,28,5,5,,7,0,1,,20,0,,,
Fruits et jus de fruits,"Jus de raisins, prêt-à-boire, avec vitamine C",125mL,132,81,337,1,20,20,0.1,tr,,,,,,,12,0.3,4,174,13,15,,7,0,4,,32,0,,,
Fruits et jus de fruits,"Jus d'orange et pamplemousse, prêt-à-boire",125mL,130,56,235,1,13,13,0.1,tr,,,,,,,10,0.6,4,206,13,18,8,26,,0,18,,38,0,,,
Fruits et jus de fruits,"Jus d'orange, congelé, dilué",125mL,132,59,247,1,14,11,0.3,tr,,,,,,,12,0.1,1,250,13,21,7,22,,0,58,,51,0,,,
Fruits et jus de fruits,"Jus d'orange, fraises et banane, prêt-à-boire",125mL,124,57,237,1,15,13,0.2,tr,,,,,,,14,0.3,5,124,12,15,1,21,,0,21,,31,0,,,
Fruits et jus de fruits,"Jus d'orange, prêt-à-boire",125mL,132,58,242,1,13,N/D,0.3,tr,,,,,,,13,0.2,1,250,14,14,5,61,,0,24,,43,0,,,
Fruits et jus de fruits,"Jus d'orange, prêt-à-boire, réfrigéré, avec vitamine D et calcium",125mL,132,58,242,1,13,N/D,0.3,tr,,,,,,,185,0.2,1,250,14,14,5,N/D,,N/D,43,,0,,,
Fruits et jus de fruits,"Jus, cocktail de canneberges et pomme, prêt-à-boire, peu de Calories, avec vitamine C",125mL,127,24,100,tr,6,6,,,,,,,0,13,0.1,6,57,4,1,1,8,,0,0,,41,0,,,
Fruits et jus de fruits,"Jus, cocktail de canneberges, prêt-à-boire, avec vitamine C",125mL,134,76,318,0,19,16,0.1,tr,,,,,,,4,0.2,3,24,3,3,,,0,0,,48,0,,,
Fruits et jus de fruits,"Nectar, abricot",125mL,133,74,310,tr,19,18,0.8,tr,,,,,,,9,0.5,4,151,7,12,88,1042,,0,1,,44,0,,,
Fruits et jus de fruits,"Nectar, mangue",125mL,133,68,281,tr,17,17,0.4,tr,,,,,,,23,0.5,7,32,4,3,46,533,,0,9,,20,0,,,
Produits laitiers et produits annexes,"Babeurre",250mL,259,104,432,9,12,12,2,1.4,,,,,,,10,300,0.1,272,391,28,230,18,0.2,,,13,0.57,0.40,,,
Produits laitiers et produits annexes,"Boisson de riz, nature et arômatisée, enrichie",250mL,259,127,531,tr,26,N/D,2,0.2,,,,,,,0,319,0.2,91,72,10,36,52,2.2,,,96,1.03,0.03,,,
Produits laitiers et produits annexes,"Boisson de soya au chocolat, enrichie",250mL,257,162,673,6,26,20,4,0.6,,,,,,,0,323,1.2,136,367,38,131,180,2.6,,,29,1.80,0.67,,,
Produits laitiers et produits annexes,"Boisson de soya non sucrée, enrichie",250mL,257,85,354,7,4,1,4,0.5,,,,,,,0,318,1.2,95,308,41,82,160,3.1,,,18,2.85,0.53,,,
Produits laitiers et produits annexes,"Boisson de soya, originale et vanille, enrichie",250mL,257,110,465,7,13,9,4,0.5,,,,,,,0,316,1.1,120,313,38,110,142,2.7,,,23,2.19,0.47,,,
Produits laitiers et produits annexes,"Lait au chocolat, 1% M.G.",250mL,264,166,695,9,28,26,3,1.6,,,,,,,8,304,0.6,161,449,34,272,153,2.6,,,13,0.90,0.44,,,
Produits laitiers et produits annexes,"Lait au chocolat, 2% M.G.",250mL,264,190,795,8,27,26,5,3.3,,,,,,,18,301,0.6,158,446,34,269,145,2.6,,,13,0.90,0.43,,,
Produits laitiers et produits annexes,"Lait écrémé",250mL,259,88,368,9,13,13,tr,0.2,,,,,,,5,324,0.1,109,404,28,261,158,2.7,,,13,1.37,0.47,,,
Produits laitiers et produits annexes,"Lait partiellement écrémé, 1% M.G.",250mL,258,108,454,9,13,13,3,1.6,,,,,,,13,307,0.1,113,387,28,245,150,2.6,,,13,1.13,0.48,,,
Produits laitiers et produits annexes,"Lait partiellement écrémé, 2% M.G.",250mL,258,129,539,9,12,13,5,3.3,,,,,,,21,302,0.1,106,387,28,242,142,2.8,,,13,1.19,0.48,,,
Produits laitiers et produits annexes,"Lait, partiellement écrémé, 2% M.G., avec solides de lait ajoutés",250mL,260,146,608,10,14,14,5,3.2,,,,,,,21,372,0.2,153,473,42,291,143,2.6,,,16,1.12,0.50,,,
Produits laitiers et produits annexes,"Lait entier, 3.3% M.G.",250mL,258,155,647,8,12,14,8,5.4,,,,,,,26,291,0.1,103,369,26,235,72,2.7,,,13,1.13,0.47,,,
Produits laitiers et produits annexes,"Lait concentré sucré, en conserve (Eagle BrandMC)",15mL,19,62,260,2,11,11,2,1.1,,,,,,,7,55,tr,25,72,5,49,14,N/D,,,2,0.09,0.08,,,
Produits laitiers et produits annexes,"Lait évaporé, écrémé, en conserve, dilué, 0,2% M.G.",250mL,259,105,438,10,15,15,tr,0.2,,,,,,,5,392,0.4,157,446,38,262,159,2.9,,,12,0.32,0.42,,,
Produits laitiers et produits annexes,"Lait évaporé, écrémé, en conserve, non dilué, 0,2% M.G.",15mL,16,13,53,1,2,2,tr,tr,,,,,,,1,47,tr,19,54,4,32,19,0.4,,,1,0.04,0.05,,,
Produits laitiers et produits annexes,"Lait évaporé, entier, en conserve, dilué, 7,8% M.G.",250mL,258,178,744,9,13,13,10,6.3,,,,,,,39,349,0.3,143,403,33,270,86,2.9,,,11,0.21,0.42,,,
Produits laitiers et produits annexes,"Lait évaporé, entier, en conserve, non dilué, 7,8% M.G.",15mL,16,21,89,1,2,2,1,0.8,,,,,,,5,42,tr,17,48,4,32,10,0.3,,,1,0.03,0.05,,,
Produits laitiers et produits annexes,"Lait évaporé, partiellement écrémé, en conserve, dilué, 2% M.G.",250mL,258,122,512,10,15,13,3,1.6,,,,,,,10,369,0.3,149,422,35,264,104,2.9,,,11,0.28,0.41,,,
Produits laitiers et produits annexes,"Lait évaporé, partiellement écrémé, en conserve, non dilué, 2% M.G.",15mL,16,15,62,1,2,2,tr,0.2,,,,,,,1,44,tr,18,51,4,32,12,0.3,,,1,0.03,0.05,,,
Produits laitiers et produits annexes,"Lait reconstitué à base de poudre de lait écrémé",250mL,259,86,360,8,13,13,tr,0.1,,,,,,,4,301,0.1,137,410,30,237,170,2.6,,,12,0.96,0.42,,,
Produits laitiers et produits annexes,"Poudre de lait écrémé",5mL,1,5,22,1,1,1,tr,tr,,,,,,,tr,18,tr,8,25,2,14,10,0.2,,,1,0.06,0.03,,,
Produits laitiers et produits annexes,"Chocolat chaud, maison, cacao et lait 2%",250mL,264,203,851,9,28,26,6,3.8,,,,,,,21,277,1.3,116,520,61,277,135,2.6,,,13,1.11,0.48,,,
Produits laitiers et produits annexes,"Chocolat chaud, préparation commerciale et eau",250mL,291,160,669,2,34,30,2,0.9,,,,,,,3,64,0.5,206,285,35,125,,N/D,,,0,0.52,0.23,,,
Produits laitiers et produits annexes,"Chocolat chaud, préparation commerciale et lait 2%",250mL,264,255,1068,10,41,37,6,3.8,,,,,,,20,318,0.5,272,595,55,327,126,2.5,,,11,1.52,0.62,,,
Produits laitiers et produits annexes,"Chocolat chaud, préparation commerciale sucrée à l'aspartame et eau",250mL,270,78,326,3,15,9,1,,,,,,,,0,127,1.1,240,569,46,189,38,N/D,,,3,0.35,0.29,,,
Produits laitiers et produits annexes,"Déjeuner instantané, préparation commerciale et lait 2%",250mL,280,260,1087,16,36,12,5,3.1,,,,,,,24,555,3.9,286,811,61,459,444,2.6,,,12,2.21,1.41,,,
Produits laitiers et produits annexes,"Lait au chocolat, poudre arômatisée au chocolat et lait 2%",250mL,279,207,863,9,33,N/D,6,3.4,,,,,,,20,321,0.8,176,531,59,274,143,2.8,,,N/D,0.92,0.46,,,
Produits laitiers et produits annexes,"Lait au chocolat, sirop et lait 2%",250mL,298,238,998,10,38,N/D,5,3.3,,,,,,,21,319,1.0,158,489,60,298,146,2.8,,,15,0.95,0.45,,,
Produits laitiers et produits annexes,"Lait de poule",250mL,268,362,1516,10,36,23,20,11.9,,,,,,,158,349,0.5,145,443,51,293,121,1.1,,,3,1.21,0.51,,,
Produits laitiers et produits annexes,"Lait frappé à la vanille",250mL,249,279,1166,10,44,44,8,4.7,,,,,,,30,364,0.2,237,456,30,286,62,0.5,,,17,1.30,0.49,,,
Produits laitiers et produits annexes,"Lait frappé au chocolat",250mL,249,296,1240,8,53,52,7,4.2,,,,,,,27,329,0.8,276,558,40,314,45,1.0,,,12,0.80,0.55,,,
Produits laitiers et produits annexes,"Fromage frais (Danimal MC, MinigoMC)",1,60,68,286,3,10,10,2,1.1,,,,,,,6,138,0.1,32,84,7,50,N/D,N/D,,,N/D,N/D,N/D,,,
Produits laitiers et produits annexes,"Kéfir, nature",175mL,165,104,433,6,7,6,6,3.8,,,,,,,25,187,0.1,70,250,19,148,58,0.2,,,23,0.33,0.30,,,
Produits laitiers et produits annexes,"Parfait au yogourt avec petits fruits et granola",175mL,188,233,973,7,40,3,5,2.7,,,,,,,14,208,2.2,119,337,36,201,23,0,,,40,0.59,0.31,,,
Produits laitiers et produits annexes,"Yogourt à boire",200mL,207,145,607,5,24,24,3,2.1,,,,,,,12,191,0.2,81,257,23,157,N/D,0.2,,,25,0.58,0.23,,,
Produits laitiers et produits annexes,"Yogourt, nature, 1-2% M.G.",175mL,181,114,477,10,13,13,3,1.8,,,,,,,11,332,0.1,127,424,31,261,25,N/D,,,20,1.01,0.39,,,
Produits laitiers et produits annexes,"Yogourt, nature, 2-4% M.G.",175mL,181,129,538,9,12,8,5,3.3,,,,,,,17,292,0.1,111,412,28,246,31,N/D,,,21,1.03,0.42,,,
Produits laitiers et produits annexes,"Yogourt, nature, sans gras",175mL,189,79,332,8,11,9,tr,,,,,,,,0,6,253,0.1,113,368,26,215,N/D,1.8,,,N/D,0.89,0.32,,,
Produits laitiers et produits annexes,"Yogourt, vanille ou fruits, 1-2% M.G.",175mL,185,183,767,7,30,25,4,2.3,,,,,,,17,227,0.1,98,335,20,167,N/D,N/D,,,N/D,0.31,0.15,,,
Produits laitiers et produits annexes,"Yogourt, vanille ou fruits, sans gras",175mL,163,116,484,8,21,19,tr,tr,,,,,,,4,229,0.2,103,349,20,163,N/D,N/D,,,N/D,0.59,N/D,,,
Produits laitiers et produits annexes,"Yogourt, vanille ou fruits, sans gras, sucré à l'édulcorant",175mL,189,94,394,7,16,14,tr,,,,,,,,0,6,205,0.2,92,311,22,179,N/D,1.4,,,N/D,0.72,0.27,,,
Produits laitiers et produits annexes,"Bleu",50g,50,177,738,11,1,tr,14,9.3,,,,,,,38,264,0.2,698,128,12,194,99,0.2,,,18,0.61,0.19,,,
Produits laitiers et produits annexes,"Brick",50g,50,186,776,12,1,tr,15,9.4,,,,,,,47,337,0.2,280,68,12,226,146,0.2,,,10,0.63,0.18,,,
Produits laitiers et produits annexes,"Brie",50g,50,167,699,10,tr,tr,14,8.7,,,,,,,50,92,0.3,315,76,10,94,87,0.2,,,33,0.83,0.26,,,
Produits laitiers et produits annexes,"Camembert",50g,50,150,628,10,tr,tr,12,7.6,,,,,,,36,194,0.2,421,94,10,174,121,0.2,,,31,0.65,0.24,,,
Produits laitiers et produits annexes,"Cheddar",50g,50,202,843,12,1,tr,17,10.5,,,,,,,53,361,0.3,311,49,14,256,133,0.1,,,9,0.42,0.19,,,
Produits laitiers et produits annexes,"Cheddar, peu de gras (18% M.G.)",50g,50,141,590,14,1,N/D,9,5.8,,,,,,,28,453,0.1,363,47,18,292,75,N/D,,,10,0.83,0.15,,,
Produits laitiers et produits annexes,"Edam",50g,50,179,747,12,1,1,14,8.8,,,,,,,45,366,0.2,483,94,15,268,122,0.5,,,8,0.77,0.19,,,
Produits laitiers et produits annexes,"Féta",50g,50,132,552,7,2,2,11,7.7,,,,,,,46,247,0.3,558,31,10,169,63,0.2,,,16,0.87,0.44,,,
Produits laitiers et produits annexes,"Fromage à la crème, léger",30mL,30,70,294,3,2,tr,5,3.4,,,,,,,17,34,0.5,90,51,2,44,56,N/D,,,5,0.18,0.09,,,
Produits laitiers et produits annexes,"Fromage à la crème, régulier",30mL,29,103,430,2,1,tr,10,6.5,,,,,,,32,24,0.4,87,35,2,31,108,N/D,,,4,0.12,0.06,,,
Produits laitiers et produits annexes,"Fromage cottage (1% M.G.)",125mL,119,86,359,15,3,3,1,0.8,,,,,,,5,73,0.2,500,103,6,160,13,N/D,,,14,0.75,0.20,,,
Produits laitiers et produits annexes,"Fromage de chèvre à pâte molle",50g,50,134,561,9,tr,tr,11,7.3,,,,,,,23,70,1.0,184,13,8,128,144,0.2,,,6,0.10,0.19,,,
Produits laitiers et produits annexes,"Fromage, imitation",50g,50,120,500,8,6,4,7,4.4,,,,,,,18,281,0.2,673,121,15,356,57,0,,,4,0.20,0.22,,,
Produits laitiers et produits annexes,"Gouda",50g,50,178,745,13,1,1,14,9.0,,,,,,,58,350,0.1,410,61,15,273,83,0.2,,,11,0.78,0.17,,,
Produits laitiers et produits annexes,"Gruyère",50g,50,207,864,15,tr,tr,16,9.5,,,,,,,55,506,0.1,168,41,18,303,136,0.2,,,5,0.80,0.14,,,
Produits laitiers et produits annexes,"Mozzarella (22,5% M.G.)",50g,50,141,588,10,1,1,11,6.8,,,,,,,39,269,0.1,187,34,10,186,90,0.1,,,4,0.33,0.13,,,
Produits laitiers et produits annexes,"Mozzarella partiellement écrémé (16,5% M.G.)",50g,50,127,531,13,1,1,8,5.2,,,,,,,29,323,0.1,241,42,12,239,64,0.1,,,5,0.41,0.16,,,
